nm9429837&Michel Blanc&
nm9429838&Alan Blanchard&
nm9429839&Pierre Blanchard&
nm9429840&Mark Blankfield&
nm9429841&Roger Blay&
nm9429842&Debra Blee&
nm9429843&Michael Blodgett&
nm9429844&Verna Bloom&
nm9429845&Hart Bochner&
nm9429846&Paul Boensh~III&
nm9429847&Richard Bohringer&
nm9429848&Tiffany Bolling&
nm9429849&Sudie Bond&
nm9429850&Natalya Bondartchuk&
nm9429851&Peter Bonerz&
nm9429852&Beverly Bonner&
nm9429853&Val\'erie Bonnier&
nm9429854&Bonzo&
nm9429855&Connie Booth&
nm9429856&Powers Boothe&
nm9429857&Paola Borboni&
nm9429858&Matt Borel&
nm9429859&Dirk Borgarde&
nm9429860&Victor Borge&
nm9429861&Nelly Borgeaud&
nm9429862&Benjamin Bottoms&
nm9429863&Daniel Boulanger&
nm9429864&Mathew Boulton&
nm9429865&Carole Bouquet&
nm9429866&Charon Bourke&
nm9429867&Julie Bovasso&
nm9429868&Tony Bova&
nm9429869&Elizabeth Bowen&
nm9429870&Roger Bowen&
nm9429871&Malick Bowes&
nm9429872&Dorothy Boyd&
nm9429873&Guy Boyd&
nm9429874&William `Stage' Stage&
nm9429875&The Bowery Boys&
nm9429876&Jean Bradin&
nm9429877&Terry Bradshaw&
nm9429878&Pat Brady&
nm9429879&Rob Brady&
nm9429880&Sonia Braga&
nm9429881&Miriam Brickman&
nm9429882&Wilford Brimley&
nm9429883&Kenneth Branagh&
nm9429884&Michael Brandon&
nm9429885&Betsy Brantley&
nm9429886&Larry Breeding&
nm9429887&Hanna Brejchova&
nm9429888&Timothy Brent&
nm9429889&Patricia Breslin&
nm9429890&JeanClaude Brialy&
nm9429891&Bricktop&
nm9429892&Wilford Brimley&
nm9429893&Peter Brocco&
nm9429894&Phil Brock&
nm9429895&Gary Brockette&
nm9429896&Elisabeth Brooks&
nm9429897&Hildy Brooks&
nm9429898&James L. Brooks&
nm9429899&Louise Brooks&
nm9429900&Antonia Brough&
nm9429901&Bruce Brown&
nm9429902&Eric Brown&
nm9429903&Foxy Brown&
nm9429904&Gary Brown&
nm9429905&Gaye Brown&
nm9429906&Janet Brown&
nm9429907&Ken Brown&
nm9429908&Lou Brown&
nm9429909&Peter Brown&
nm9429910&Reb Brown&
nm9429911&Roger Aaron Brown&
nm9429912&Kathy Browne&
nm9429913&Lenny Bruce&
nm9429914&Nadja Brunkhorst&
nm9429915&Phil Bruns&
nm9429916&Pamela Bryant&
nm9429917&John Buchan&
nm9429918&Betty Buckley&
nm9429919&John Buckwalter&
nm9429920&Raymond Buktencia&
nm9429921&Jeremy Bulloch&
nm9429922&Avis Bunnage&
nm9429923&Robert Bur&
nm9429924&Eric Burdon&
nm9429925&Scott Burgess&
nm9429926&Gary Burghoff&
nm9429927&Dennis Burkley&
nm9429928&Tom Burlinson&
nm9429929&Smiley Burnette&
nm9429930&Marilyn Burns&
nm9429931&Stephan W. Burns&
nm9429932&Tim Burns&
nm9429933&Terri Burrell&
nm9429934&Jackie Burroughs&
nm9429935&Bill Burrows&
nm9429936&Jeff Burton&
nm9429937&LeVar Burton&
nm9429938&Billy Green Bush&
nm9429939&Robert Butler&
nm9429940&William Butler&
nm9429941&Yancy Butler&
nm9429942&Pat Buttram&
nm9429943&Ruth Buzzi&
nm9429944&John Byner&
nm9429945&Tom Byrd&
nm9429946&Anne Byrne&
nm9429947&Martha Byrne&
nm9429948&Kathleen Byron&
nm9429949&Cheri Caffaro&
nm9429950&William Cagney&
nm9429951&Joseph Cali&
nm9429952&Simon Callow&
nm9429953&Coleen Camp&
nm9429954&Hamilton Camp&
nm9429955&Frank Campanella&
nm9429956&Bill Campbell&
nm9429957&Cheryl Campbell&
nm9429958&Daisy Campbell&
nm9429959&James Canning&
nm9429960&Freedy Cannon&
nm9429961&Kathy Cannon&
nm9429962&Cantilene&
nm9429963&Ahna Capri&
nm9429964&Kate Capshaw&
nm9429965&Irene Cara&
nm9429966&Richard Cardella&
nm9429967&Pat Cardi&
nm9429968&Arthur Carewe&
nm9429969&Harry Carey~jr.&
nm9429970&Ron Carey&
nm9429971&Tim Carhart&
nm9429972&Leo Carillo&
nm9429973&George Carlin&
nm9429974&Anne Carlisle&
nm9429975&Johanna Carlo&
nm9429976&Charles Carlson&
nm9429977&Karen Carlson&
nm9429978&Moose Carlson&
nm9429979&Richard Carlson&
nm9429980&Ingmari Carlssen&
nm9429981&Pamela Carme&
nm9429982&Julie Carmen&
nm9429983&Angela Carnon&
nm9429984&Horace Carpenter&
nm9429985&Linda Carpenter&
nm9429986&Carpin&
nm9429987&Carol Carr&
nm9429988&Darleen Carr&
nm9429989&Paul Carr&
nm9429990&Bruce Carradine&
nm9429991&Jim Carrey&
nm9429992&Matthew Carriere&
nm9429993&Pat Carrol&
nm9429994&Regina Carrol&
nm9429995&Regina Carroll&
nm9429996&Kit Carson&
nm9429997&Jim Carter&
nm9429998&Lydia Carter&
nm9429999&Lynda Carter&
nm9430000&T.K. Carter&
nm9430001&Bernie Casey&
nm9430002&Jack Cassidy&
nm9430003&JeanPierre Castaldi&
nm9430004&Kim Cattrall&
nm9430005&Olimpia Cavalli&
nm9430006&Dick Cavett&
nm9430007&Christopher Cazenove&
nm9430008&Renzo Cesana&
nm9430009&June Chadwick&
nm9430010&William Challee&
nm9430011&Wilt Chamberlain&
nm9430012&Marilyn Chambers&
nm9430013&Jackie Chan&
nm9430014&Simon Chandler&
nm9430015&Margo Channing&
nm9430016&Esme Chaplin&
nm9430017&Josephine Chaplin&
nm9430018&Geraldine Chapman&
nm9430019&Graham Chapman&
nm9430020&Lonny Chapman&
nm9430021&Bobby H. Charles&
nm9430022&Ian Charleson&
nm9430023&Henri Charrieri&
nm9430024&Stephen Chase&
nm9430025&Martine Chassaing&
nm9430026&Marvin Chatinover&
nm9430027&Soumitra Chatterjee&
nm9430028&Joan Chen&
nm9430029&Patrice Chereau&
nm9430030&Arthur Chesney&
nm9430031&Helen Chester&
nm9430032&Leslie Cheung&
nm9430033&Anne Chevalier&
nm9430034&Sonny Chiba&
nm9430035&Eric Chitty&
nm9430036&Shelby Chong&
